T1,"The derivative of sin(x) is cos(x)",True,1,1,Rookie
T2,"The integral of 1/x dx is ln|x| + C",True,2,2,Rookie
T3,"The limit as x approaches 0 of (sin x)/x is 1",True,1,1,Rookie
T4,"The function f(x) = x^3 is even",False,1,2,Rookie
T5,"The second derivative of x^2 is 4",False,2,1,Rookie
T6,"The matrix [[1,2],[3,4]] is symmetric",False,1,2,Rookie
T7,"The real part of (2 + 3i) is 3",False,1,1,Rookie
T8,"The series ∑_{n=1}^∞ 1/n diverges",True,2,2,Rookie
T9,"e^(ln x) = x for x > 0",True,1,1,Rookie
T10,"The function f(x)=|x| is differentiable at x=0",False,1,2,Rookie
T11,"Any polynomial function is continuous everywhere",True,2,1,Rookie
T12,"The derivative of e^x is e^x",True,1,2,Rookie
T13,"The derivative of a constant function is the function itself",False,1,1,Rookie
T14,"The integral of cos(x) dx is sin(x) + C",True,2,2,Rookie
T15,"The determinant of a 2×2 matrix [[a,b],[c,d]] is ad - bc",True,1,1,Rookie
T16,"The function f(x) = 1/x is defined at x=0",False,1,2,Rookie
T17,"Differentiable implies continuous at a point",True,2,1,Rookie
T18,"The solutions to the equation x^2 + 1 = 0 are real numbers",False,1,2,Rookie
T19,"The limit as x approaches infinity of 1/x is 0",True,1,1,Rookie
T20,"The set of real numbers is countable",False,2,2,Rookie
T21,"The vectors [1,0] and [0,1] in ℝ^2 are linearly independent",True,1,1,Rookie
T22,"The sum of two odd functions is an even function",False,1,2,Rookie
T23,"The magnitude of a complex number a+bi is √(a^2 + b^2)",True,2,1,Rookie
T24,"Integration by parts is based on the product rule for differentiation",True,1,2,Rookie
T25,"The Maclaurin series for e^x contains only odd powers of x",False,1,1,Rookie
T26,"A function can have more than one derivative at a given point",False,2,2,Rookie
T27,"The graph of y = e^{-x} decays as x increases",True,1,1,Rookie
T28,"A square matrix must be invertible",False,1,2,Rookie
T29,"The basis of the null space of a matrix is unique",False,2,1,Rookie
T30,"The cross product is defined in ℝ^3",True,1,2,Rookie
T31,"The dot product of perpendicular vectors is zero",True,1,1,Rookie
T32,"The eigenvalues of a real symmetric matrix are always real",True,2,2,Rookie
T33,"Any invertible matrix has a determinant equal to zero",False,1,1,Rookie
T34,"The sequence a_n = (1 + 1/n)^n converges to e",True,1,2,Rookie
